Ticket Number,Category,Issue Description,Priority,Status,Department,Assigned To,Date Created,Date Updated,Resolution,Notes,Attachments
TKT9269,Regulatory Compliance,Compliance check required for Engine Lathe to meet new industry standards.,Low,Closed,Maintenance,Jane Doe,2024-02-08 17:09,2024-02-13 17:09,Installed pressure sensor. Equipment now performance improved.,,
TKT5382,Regulatory Compliance,Compliance check required for Engine Lathe to meet new industry standards.,Medium,In Progress,Maintenance,John Smith,2024-03-21 17:09,2024-03-24 17:09,,Follow up required,
TKT1538,Regulatory Compliance,Compliance check required for Engine Lathe to meet new industry standards.,High,In Progress,Quality Control,Jane Doe,2024-02-25 17:09,2024-02-27 17:09,,Follow up required,
TKT6269,Regulatory Compliance,Compliance check required for Engine Lathe to meet new industry standards.,Medium,Closed,Quality Control,Jack Davis,2024-03-16 17:09,2024-03-21 17:09,Repaired upgraded software. Equipment now requires further testing.,,Image of affected part
TKT4369,Regulatory Compliance,Compliance check required for Welding Equipment to meet new industry standards.,High,Open,Safety,Mike Brown,2024-02-05 17:09,2024-02-05 17:09,,,Image of affected part
TKT9468,Regulatory Compliance,Compliance check required for Engine Lathe to meet new industry standards.,Low,In Progress,Safety,Carol Taylor,2024-03-12 17:09,2024-03-13 17:09,,Follow up required,
TKT7058,Regulatory Compliance,Compliance check required for CNC Router to meet new industry standards.,Medium,In Progress,Safety,Alice Johnson,2024-02-10 17:09,2024-02-10 17:09,,Follow up required,Image of affected part
TKT1302,Regulatory Compliance,Compliance check required for Milling Machine to meet new industry standards.,High,Open,Safety,Tom Clark,2024-03-23 17:09,2024-03-23 17:09,,,Image of affected part
TKT5328,Regulatory Compliance,Compliance check required for CNC Router to meet new industry standards.,High,In Progress,Safety,Tom Clark,2024-03-06 17:09,2024-03-07 17:09,,Follow up required,
TKT1999,Regulatory Compliance,Compliance check required for CNC Router to meet new industry standards.,Low,Open,Quality Control,Mike Brown,2024-03-27 17:09,2024-03-27 17:09,,,Image of affected part
TKT8295,Regulatory Compliance,Compliance check required for Milling Machine to meet new industry standards.,Low,Open,Safety,Jack Davis,2024-02-19 17:09,2024-02-19 17:09,,,
TKT5246,Regulatory Compliance,Compliance check required for Welding Equipment to meet new industry standards.,High,In Progress,Quality Control,Alice Johnson,2024-03-07 17:09,2024-03-10 17:09,,Follow up required,Image of affected part
TKT7453,Regulatory Compliance,Compliance check required for Hydraulic Press to meet new industry standards.,Low,Closed,Quality Control,Bob Lee,2024-03-18 17:09,2024-03-22 17:09,Installed pressure sensor. Equipment now performance improved.,,
TKT9657,Regulatory Compliance,Compliance check required for Engine Lathe to meet new industry standards.,Medium,Open,Maintenance,Sara Moore,2024-02-14 17:09,2024-02-14 17:09,,,
TKT5589,Regulatory Compliance,Compliance check required for CNC Router to meet new industry standards.,Medium,Closed,Safety,Carol Taylor,2024-02-20 17:09,2024-02-24 17:09,Repaired hydraulic arm. Equipment now requires further testing.,,Image of affected part
TKT1641,Regulatory Compliance,Compliance check required for Milling Machine to meet new industry standards.,Low,Open,Quality Control,Jane Doe,2024-03-22 17:09,2024-03-22 17:09,,,
TKT6883,Regulatory Compliance,Compliance check required for CNC Router to meet new industry standards.,Medium,Closed,Safety,Tom Clark,2024-04-06 17:09,2024-04-07 17:09,Installed pressure sensor. Equipment now performance improved.,,Image of affected part
TKT4927,Regulatory Compliance,Compliance check required for Milling Machine to meet new industry standards.,Low,Open,Maintenance,John Smith,2024-04-06 17:09,2024-04-06 17:09,,,Image of affected part
TKT5742,Regulatory Compliance,Compliance check required for Engine Lathe to meet new industry standards.,High,Closed,Maintenance,Jack Davis,2024-01-23 17:09,2024-01-28 17:09,Updated new spindle. Equipment now fully operational.,,
TKT8770,Regulatory Compliance,Compliance check required for Milling Machine to meet new industry standards.,High,Open,Quality Control,Tom Clark,2024-03-18 17:09,2024-03-18 17:09,,,
TKT1833,Regulatory Compliance,Compliance check required for CNC Router to meet new industry standards.,Low,Closed,Safety,Jack Davis,2024-02-24 17:09,2024-02-24 17:09,Calibrated replacement motor. Equipment now fully operational.,,Image of affected part
TKT8601,Regulatory Compliance,Compliance check required for Milling Machine to meet new industry standards.,Medium,Closed,Quality Control,Carol Taylor,2024-03-25 17:09,2024-03-27 17:09,Calibrated hydraulic arm. Equipment now performance improved.,,Image of affected part
TKT5561,Regulatory Compliance,Compliance check required for CNC Router to meet new industry standards.,Medium,In Progress,Safety,Bob Lee,2024-03-21 17:09,2024-03-24 17:09,,Follow up required,Image of affected part
TKT4294,Regulatory Compliance,Compliance check required for Engine Lathe to meet new industry standards.,Low,Closed,Quality Control,Carol Taylor,2024-03-27 17:09,2024-03-30 17:09,Installed new spindle. Equipment now performance improved.,,Image of affected part
TKT7835,Regulatory Compliance,Compliance check required for CNC Router to meet new industry standards.,Low,Open,Maintenance,Jack Davis,2024-02-25 17:09,2024-02-25 17:09,,,
TKT8861,Regulatory Compliance,Compliance check required for CNC Router to meet new industry standards.,High,Open,Quality Control,Sara Moore,2024-02-20 17:09,2024-02-20 17:09,,,
TKT9865,Regulatory Compliance,Compliance check required for CNC Router to meet new industry standards.,Low,In Progress,Safety,Tom Clark,2024-01-30 17:09,2024-02-01 17:09,,Follow up required,
TKT3202,Regulatory Compliance,Compliance check required for CNC Router to meet new industry standards.,High,Closed,Quality Control,Laura Wilson,2024-02-27 17:09,2024-03-03 17:09,Updated new spindle. Equipment now issue resolved.,,
TKT2340,Regulatory Compliance,Compliance check required for Milling Machine to meet new industry standards.,Medium,Open,Quality Control,Tom Clark,2024-02-20 17:09,2024-02-20 17:09,,,Image of affected part
TKT8801,Regulatory Compliance,Compliance check required for CNC Router to meet new industry standards.,High,Closed,Quality Control,Jane Doe,2024-03-10 17:09,2024-03-12 17:09,Replaced replacement motor. Equipment now fully operational.,,
TKT8908,Regulatory Compliance,Compliance check required for CNC Router to meet new industry standards.,High,In Progress,Maintenance,Laura Wilson,2024-02-25 17:09,2024-03-01 17:09,,Follow up required,
TKT7865,Regulatory Compliance,Compliance check required for Hydraulic Press to meet new industry standards.,Low,In Progress,Maintenance,Bob Lee,2024-01-18 17:09,2024-01-19 17:09,,Follow up required,Image of affected part
TKT2513,Regulatory Compliance,Compliance check required for Milling Machine to meet new industry standards.,High,Open,Safety,Jack Davis,2024-01-19 17:09,2024-01-19 17:09,,,Image of affected part
TKT7492,Regulatory Compliance,Compliance check required for Engine Lathe to meet new industry standards.,Medium,Open,Safety,Tom Clark,2024-03-20 17:09,2024-03-20 17:09,,,
TKT4806,Regulatory Compliance,Compliance check required for Engine Lathe to meet new industry standards.,High,Closed,Safety,Carol Taylor,2024-02-22 17:09,2024-02-25 17:09,Repaired pressure sensor. Equipment now under observation.,,
TKT8771,Regulatory Compliance,Compliance check required for Engine Lathe to meet new industry standards.,High,In Progress,Safety,Carol Taylor,2024-04-04 17:09,2024-04-09 17:09,,Follow up required,Image of affected part
TKT3398,Regulatory Compliance,Compliance check required for Engine Lathe to meet new industry standards.,Medium,Open,Maintenance,John Smith,2024-03-12 17:09,2024-03-12 17:09,,,Image of affected part
TKT9013,Regulatory Compliance,Compliance check required for Welding Equipment to meet new industry standards.,Low,Closed,Safety,Jack Davis,2024-03-26 17:09,2024-03-28 17:09,Repaired new spindle. Equipment now under observation.,,
TKT9825,Emergency Response,Immediate intervention required due to a critical failure of Hydraulic Press risking production stoppage.,Low,Closed,Safety,Laura Wilson,2024-03-08 17:09,2024-03-13 17:09,Installed replacement motor. Equipment now under observation.,,Image of affected part
TKT4809,Emergency Response,Immediate intervention required due to a critical failure of CNC Router risking production stoppage.,High,Closed,Quality Control,Sara Moore,2024-01-31 17:09,2024-02-05 17:09,Calibrated upgraded software. Equipment now performance improved.,,
TKT5894,Emergency Response,Immediate intervention required due to a critical failure of Hydraulic Press risking production stoppage.,High,Closed,Safety,Laura Wilson,2024-03-08 17:09,2024-03-13 17:09,Repaired hydraulic arm. Equipment now fully operational.,,Image of affected part
TKT2131,Emergency Response,Immediate intervention required due to a critical failure of CNC Router risking production stoppage.,Low,Closed,Quality Control,Jane Doe,2024-02-01 17:09,2024-02-01 17:09,Repaired new spindle. Equipment now under observation.,,
TKT4077,Emergency Response,Immediate intervention required due to a critical failure of CNC Router risking production stoppage.,Low,Open,Quality Control,Sara Moore,2024-03-15 17:09,2024-03-15 17:09,,,
TKT6290,Emergency Response,Immediate intervention required due to a critical failure of CNC Router risking production stoppage.,Medium,In Progress,Quality Control,Tom Clark,2024-03-08 17:09,2024-03-13 17:09,,Follow up required,
TKT8599,Emergency Response,Immediate intervention required due to a critical failure of Milling Machine risking production stoppage.,Medium,In Progress,Maintenance,John Smith,2024-02-28 17:09,2024-03-04 17:09,,Follow up required,Image of affected part
TKT7655,Emergency Response,Immediate intervention required due to a critical failure of Milling Machine risking production stoppage.,Medium,In Progress,Quality Control,Sara Moore,2024-03-21 17:09,2024-03-25 17:09,,Follow up required,
TKT6796,Emergency Response,Immediate intervention required due to a critical failure of Milling Machine risking production stoppage.,Medium,In Progress,Quality Control,Tom Clark,2024-02-24 17:09,2024-02-26 17:09,,Follow up required,
TKT7286,Emergency Response,Immediate intervention required due to a critical failure of Welding Equipment risking production stoppage.,High,Closed,Maintenance,Carol Taylor,2024-02-14 17:09,2024-02-17 17:09,Repaired new spindle. Equipment now issue resolved.,,
TKT6089,Emergency Response,Immediate intervention required due to a critical failure of Milling Machine risking production stoppage.,High,Closed,Quality Control,Laura Wilson,2024-02-20 17:09,2024-02-24 17:09,Calibrated upgraded software. Equipment now under observation.,,Image of affected part
TKT4498,Emergency Response,Immediate intervention required due to a critical failure of CNC Router risking production stoppage.,High,Open,Maintenance,Sara Moore,2024-04-08 17:09,2024-04-08 17:09,,,
TKT7564,Emergency Response,Immediate intervention required due to a critical failure of Welding Equipment risking production stoppage.,High,In Progress,Quality Control,Carol Taylor,2024-03-21 17:09,2024-03-21 17:09,,Follow up required,
TKT2649,Emergency Response,Immediate intervention required due to a critical failure of CNC Router risking production stoppage.,High,In Progress,Quality Control,Bob Lee,2024-03-07 17:09,2024-03-11 17:09,,Follow up required,Image of affected part
TKT6519,Emergency Response,Immediate intervention required due to a critical failure of Welding Equipment risking production stoppage.,Low,Closed,Maintenance,Jack Davis,2024-03-04 17:09,2024-03-06 17:09,Updated hydraulic arm. Equipment now requires further testing.,,
TKT8174,Emergency Response,Immediate intervention required due to a critical failure of Engine Lathe risking production stoppage.,Medium,Closed,Safety,Bob Lee,2024-02-29 17:09,2024-03-05 17:09,Calibrated replacement motor. Equipment now requires further testing.,,Image of affected part
TKT6158,Emergency Response,Immediate intervention required due to a critical failure of CNC Router risking production stoppage.,High,Closed,Safety,Alice Johnson,2024-02-09 17:09,2024-02-09 17:09,Installed hydraulic arm. Equipment now issue resolved.,,Image of affected part
TKT9849,Emergency Response,Immediate intervention required due to a critical failure of Hydraulic Press risking production stoppage.,High,In Progress,Maintenance,Jack Davis,2024-03-02 17:09,2024-03-07 17:09,,Follow up required,Image of affected part
TKT2609,Emergency Response,Immediate intervention required due to a critical failure of Engine Lathe risking production stoppage.,Medium,Open,Quality Control,Bob Lee,2024-04-06 17:09,2024-04-06 17:09,,,Image of affected part
TKT7058,Emergency Response,Immediate intervention required due to a critical failure of Welding Equipment risking production stoppage.,High,Open,Safety,Carol Taylor,2024-03-26 17:09,2024-03-26 17:09,,,Image of affected part
TKT8427,Emergency Response,Immediate intervention required due to a critical failure of Engine Lathe risking production stoppage.,Medium,Open,Maintenance,Bob Lee,2024-02-28 17:09,2024-02-28 17:09,,,
TKT2234,Emergency Response,Immediate intervention required due to a critical failure of Milling Machine risking production stoppage.,High,Open,Safety,Jack Davis,2024-03-15 17:09,2024-03-15 17:09,,,
TKT5099,Emergency Response,Immediate intervention required due to a critical failure of Welding Equipment risking production stoppage.,Low,Closed,Safety,Laura Wilson,2024-03-28 17:09,2024-04-01 17:09,Calibrated new spindle. Equipment now issue resolved.,,Image of affected part
TKT8261,Emergency Response,Immediate intervention required due to a critical failure of Welding Equipment risking production stoppage.,Low,Closed,Maintenance,Sara Moore,2024-02-04 17:09,2024-02-06 17:09,Replaced replacement motor. Equipment now performance improved.,,Image of affected part
TKT3586,Emergency Response,Immediate intervention required due to a critical failure of Welding Equipment risking production stoppage.,Medium,Closed,Quality Control,Laura Wilson,2024-03-23 17:09,2024-03-27 17:09,Calibrated pressure sensor. Equipment now issue resolved.,,
TKT4844,Emergency Response,Immediate intervention required due to a critical failure of CNC Router risking production stoppage.,Medium,Closed,Safety,Jack Davis,2024-04-12 17:09,2024-04-12 17:09,Replaced hydraulic arm. Equipment now fully operational.,,Image of affected part
TKT5740,Emergency Response,Immediate intervention required due to a critical failure of Hydraulic Press risking production stoppage.,High,Open,Safety,John Smith,2024-03-21 17:09,2024-03-21 17:09,,,Image of affected part
TKT3622,Emergency Response,Immediate intervention required due to a critical failure of Welding Equipment risking production stoppage.,Medium,Open,Safety,Carol Taylor,2024-02-25 17:09,2024-02-25 17:09,,,
TKT5704,Emergency Response,Immediate intervention required due to a critical failure of Milling Machine risking production stoppage.,High,Closed,Maintenance,Alice Johnson,2024-03-30 17:09,2024-03-30 17:09,Updated new spindle. Equipment now fully operational.,,Image of affected part
TKT9121,Emergency Response,Immediate intervention required due to a critical failure of Milling Machine risking production stoppage.,Medium,In Progress,Safety,Bob Lee,2024-03-08 17:09,2024-03-09 17:09,,Follow up required,Image of affected part
TKT3771,Emergency Response,Immediate intervention required due to a critical failure of Hydraulic Press risking production stoppage.,Low,Closed,Quality Control,Alice Johnson,2024-01-21 17:09,2024-01-22 17:09,Installed upgraded software. Equipment now issue resolved.,,
TKT4307,Emergency Response,Immediate intervention required due to a critical failure of Hydraulic Press risking production stoppage.,Medium,Closed,Maintenance,Carol Taylor,2024-02-02 17:09,2024-02-04 17:09,Updated replacement motor. Equipment now performance improved.,,
TKT3400,Emergency Response,Immediate intervention required due to a critical failure of Engine Lathe risking production stoppage.,High,In Progress,Safety,Carol Taylor,2024-01-21 17:09,2024-01-24 17:09,,Follow up required,
TKT9226,Emergency Response,Immediate intervention required due to a critical failure of Engine Lathe risking production stoppage.,High,Closed,Maintenance,Sara Moore,2024-03-17 17:09,2024-03-19 17:09,Repaired pressure sensor. Equipment now performance improved.,,
TKT4433,Emergency Response,Immediate intervention required due to a critical failure of Engine Lathe risking production stoppage.,Low,In Progress,Safety,John Smith,2024-01-24 17:09,2024-01-29 17:09,,Follow up required,Image of affected part
TKT3467,Emergency Response,Immediate intervention required due to a critical failure of Hydraulic Press risking production stoppage.,Medium,Closed,Safety,John Smith,2024-03-23 17:09,2024-03-25 17:09,Repaired replacement motor. Equipment now requires further testing.,,Image of affected part
TKT1363,Emergency Response,Immediate intervention required due to a critical failure of Engine Lathe risking production stoppage.,Low,In Progress,Maintenance,Tom Clark,2024-02-21 17:09,2024-02-21 17:09,,Follow up required,
TKT2643,Emergency Response,Immediate intervention required due to a critical failure of CNC Router risking production stoppage.,Medium,Closed,Safety,Bob Lee,2024-04-10 17:09,2024-04-15 17:09,Installed pressure sensor. Equipment now issue resolved.,,
TKT4541,Emergency Response,Immediate intervention required due to a critical failure of Engine Lathe risking production stoppage.,High,Closed,Maintenance,Bob Lee,2024-01-28 17:09,2024-01-30 17:09,Calibrated pressure sensor. Equipment now requires further testing.,,
TKT6324,Emergency Response,Immediate intervention required due to a critical failure of Engine Lathe risking production stoppage.,Medium,Closed,Safety,John Smith,2024-03-13 17:09,2024-03-16 17:09,Repaired hydraulic arm. Equipment now performance improved.,,Image of affected part
TKT7852,Emergency Response,Immediate intervention required due to a critical failure of Hydraulic Press risking production stoppage.,Low,Closed,Quality Control,Jack Davis,2024-03-17 17:09,2024-03-17 17:09,Calibrated upgraded software. Equipment now under observation.,,Image of affected part
TKT1975,Emergency Response,Immediate intervention required due to a critical failure of Engine Lathe risking production stoppage.,Low,In Progress,Safety,Jane Doe,2024-02-02 17:09,2024-02-02 17:09,,Follow up required,Image of affected part
TKT3317,Emergency Response,Immediate intervention required due to a critical failure of Welding Equipment risking production stoppage.,Medium,In Progress,Maintenance,Carol Taylor,2024-03-05 17:09,2024-03-09 17:09,,Follow up required,Image of affected part
TKT6429,Emergency Response,Immediate intervention required due to a critical failure of Engine Lathe risking production stoppage.,High,Closed,Safety,John Smith,2024-01-13 17:09,2024-01-16 17:09,Updated pressure sensor. Equipment now requires further testing.,,
TKT3626,Emergency Response,Immediate intervention required due to a critical failure of CNC Router risking production stoppage.,Medium,Closed,Quality Control,Carol Taylor,2024-02-02 17:09,2024-02-05 17:09,Repaired pressure sensor. Equipment now performance improved.,,
TKT8478,Emergency Response,Immediate intervention required due to a critical failure of Engine Lathe risking production stoppage.,Medium,Closed,Safety,Carol Taylor,2024-02-21 17:09,2024-02-25 17:09,Installed new spindle. Equipment now requires further testing.,,Image of affected part
TKT3566,Emergency Response,Immediate intervention required due to a critical failure of Milling Machine risking production stoppage.,Medium,Open,Quality Control,Sara Moore,2024-02-29 17:09,2024-02-29 17:09,,,
TKT2010,Emergency Response,Immediate intervention required due to a critical failure of Welding Equipment risking production stoppage.,High,Closed,Quality Control,Sara Moore,2024-01-25 17:09,2024-01-25 17:09,Updated replacement motor. Equipment now performance improved.,,
TKT1172,Emergency Response,Immediate intervention required due to a critical failure of CNC Router risking production stoppage.,High,In Progress,Maintenance,John Smith,2024-04-01 17:09,2024-04-04 17:09,,Follow up required,
TKT1298,Emergency Response,Immediate intervention required due to a critical failure of Engine Lathe risking production stoppage.,Low,Closed,Quality Control,John Smith,2024-01-15 17:09,2024-01-15 17:09,Updated replacement motor. Equipment now performance improved.,,Image of affected part
